artist,song,peak-rank,Hit or Not,lyrics,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
2 Pistols Featuring T-Pain & Tay Dizm,She Got It,24,hit,"[Intro: 2 Pistols & T-Pain]
J.U.S.T.I.C.E. League
Yeah, 2 Pistols
T-Pain
""She Got It""
Yeah, yeah
Yeah, yeah, hey

[Chorus: T-Pain & 2 Pistols]
I know she got it 'cause she lookin' at me like she want it (Want it)
She drop it low, make me wanna throw some D's on it (Hey)
Whatever it is, you can't stop it, 'cause she get low
When she on that pole, and that lets me know
(She got it) She got it (She got it), she got it
(She got it) She got it (She got it)
Woo-ooh (She got it), she got it (She got it) (Psst, ayy, lil' mama)
Woah-oh (She got it), shawty (She got it) (Lemme holla at you for a second, haha)

[Verse 1: 2 Pistols & T-Pain]
Excusez-moi, let me talk to you for a second (Second)
Little mama so fine, she got the whole squad sweatin'
(Damn) ""How you fit all that in them jeans?""
Was the question that I asked, followed by, ""Let me buy you a drink, drink""
Young boss baby (Young boss), I treat you, treat you to the finer things
Neck bling, wrist bling, weddin' ring, nah, I'm playin'
Might light your neck and your wrist
But you gotta ride nice dick and uh, take trips with the bricks, hah (Oh yeah)
She got it (She got it), she got it (She got it), that's what Pain sayin'
Them other niggas lame, man, lil' mama, I got the game plan
2 Pistols, BMU boss
I make it happen while they talk, ridin' 6's while they walk (Hey)
You might also like[Chorus: T-Pain]
I know she got it 'cause she lookin' at me like she want it (Want it)
She drop it low, make me wanna throw some D's on it (Hey)
Whatever it is, you can't stop it, 'cause she get low
When she on that pole, and that lets me know
(She got it) She got it (She got it), she got it
(She got it) She got it (She got it)
Woo-ooh (She got it), she got it (She got it)
Woah-oh (She got it), shawty (She got it)

[Interlude: T-Pain, 2 Pistols & Carlyle Anderson]
(Hoo-ooh, hey, hoo-ooh, hey)
(Hoo-ooh, she got it) She got it (She got it, she got it) (She got it, hey)
(Hoo-ooh, hey, hoo-ooh, hey)
(Hoo-ooh, she got it) She got it (She got it, she got it) (She got it) Woah-oh
(Hoo-ooh) Shorty knows she's got it, got it (Hey), got it (Hoo-ooh), got it (Hey)
(Hoo-ooh, she got it) She got it (She got it, she got it) (She got it, hey)
(Hoo-ooh) Shorty knows she's got it, got it (Hey), got it (Hoo-ooh), got it (Hey)
(Hoo-ooh, she got it) She got it (She got it)

[Verse 2: 2 Pistols]
Damn, she bad (Damn, she bad), damn, she thick (Yeah, damn, she thick)
Five foot five, hazel eyes, redbone, you the shit (Shit)
Make a nigga wanna stop and stare (Stare), I just wanna pull your hair
Freaky shit, kinky shit (Yeah), yeah, we could take it there
I'm a young boss, girl (Girl), let me upgrade ya (Yeah)
He's a worker, I get work out, what you 'bout, girl? (Girl)
Trips to Venice (Venice), what's the bid'ness? (Bid'ness)
Baby, switch the digits, and the rest is history
[Chorus: T-Pain]
I know she got it 'cause she lookin' at me like she want it (Want it)
She drop it low, make me wanna throw some D's on it (Hey)
Whatever it is, you can't stop it, 'cause she get low
When she on that pole, and that lets me know
(She got it) She got it (She got it), she got it
(She got it) She got it (She got it)
Woo-ooh (She got it), she got it (She got it)
Woah-oh (She got it), shawty (She got it)

[Verse 3: Tay Dizm]
Ayy, she my superwoman, nobody can't do it like she can
And she got it, I'm tellin' you like nobody, yah
And I love the way she talk them lames out they dreams
Bet she stay in fresh Louis with them matchin' jeans
And I love them tatted thighs, baby, on yo' feet
Can I be your appetizer? Your mystery meat
Oh, she's on tonight, the baddest in the club
I grab that ass when she gimme a hug 'cause

[Chorus: T-Pain]
I know she got it 'cause she lookin' at me like she want it (Want it)
She drop it low, make me wanna throw some D's on it (Hey)
Whatever it is, you can't stop it, 'cause she get low
When she on that pole, and that lets me know
(She got it) She got it (She got it), she got it
(She got it) She got it (She got it)
Woo-ooh (She got it), she got it (She got it)
Woah-oh (She got it), shawty (She got it)",0.53,0.745,10,-6.19,0,0.106,0.00436,0.0,0.345,0.269,134.068,274053,4,['R&B']
A*Teens,Bouncing Off The Ceiling (Upside Down),93,non-hit,"[Intro]
Up... side down
Upside down
Upside down

[Verse 1]
My grades are down from A's to D's
I'm way behind in history
I lost myself in fantasies
Of you and me together

[Pre-Chorus]
I don't know why, but dreaming's all I do
I won't get by on mere imagination

[Chorus]
Upside down
Bouncing off the ceiling
Inside out
Stranger to this feeling
Got no clue what I should do
I'll go crazy if I can't get next to you
To you

[Verse 2]
My teacher says to concentrate
So what; his name was Peter the Great
The kings and queens will have to wait
'Cause I don't have forever

You might also like
The Edge of Glory
Lady Gaga
Accidentally in Love
Counting Crows
John Wayne
Cigarettes After Sex

[Pre-Chorus]
I wish that I could walk right up to you
Each time I try the same old hesitation

[Chorus]
Upside down
Bouncing off the ceiling
Inside out
Stranger to this feeling
Got no clue what I should do
I'll go crazy if I can't get next to you
To you

[Bridge]
Somehow, someway
You will love me too
One day will be the day when all my dreams come true
(Ha ha!)

[Break]
Up... side down
Yeah yeah, yeah yeah

[Chorus]
Upside down
Bouncing off the ceiling
Inside out
Stranger to this feeling
Got no clue what I should do
I'll go crazy if I can't get next to you
Upside down
Bouncing off the ceiling
Inside out
Stranger to this feeling
Got no clue what I should do
I'll go crazy if I can't get next to...
And I'll go crazy if I can't get next to...
And I'll go crazy if I can't get next to you",0.708,0.608,9,-8.885,1,0.0395,0.188,0.0024,0.254,0.897,121.997,193091,4,['pop']
Adam Lambert,A Change Is Gonna Come,56,non-hit,"[Verse 1]
I was born by the river, in a little tent
Oh, and just like the river
I've been running ever since

[Chorus]
It's been a long
A long time coming
But I know a change gonna come
Oh, yes it will

[Verse 2]
It's been too hard living
But I'm afraid to die
'Cause I don't know what's up there
Beyond the sky

[Chorus]
It's been a long
A long time coming
But I know a change gonna come
Oh, yes it will

[Verse 3]
I go to the movie
And I go downtown
Somebody keep telling me
Don't hang around
You might also like[Chorus]
It's been a long
A long time coming
But I know, a change gonna come
Oh, yes it will

[Verse 4]
Then I go to my brother
And I say, brother, help me please
But he winds up, knockin' me
Back down on my knees

[Bridge]
Oh, there been times that I thought
I couldn't last for long
But now I think I'm able, to carry on

[Chorus]
It's been a long
A long time coming
But I know my change is gonna come
Oh, yes it will",0.34,0.569,9,-7.051,1,0.0308,0.0136,0.0,0.138,0.389,79.553,231902,3,['UK R&B]
Adam Lambert,Mad World,19,hit,"[Verse 1]
All around me are familiar faces
Worn out places
Worn out faces
Bright and early for the daily races
Going no where
Going no where
And their tears are filling up their glasses
No expression
No expression
Hide my head, I wanna drown my sorrow
No tomorrow
No tomorrow

[Chorus]
And I find it kind of funny
I find it kind of sad
The dreams in which I'm dying
Are the best I've ever had
I find it hard to tell you
I find it hard to take
When people run in circles
It's a very, very, mad world, mad world

[Verse 2]
Children waiting for the day they feel good
Happy birthday
Happy birthday
Made to feel the way that every child should
Sit and listen
Sit and listen
Went to school and I was very nervous
No one knew me
No one knew me
Hello teacher, tell me what's my lesson
Look right through me
Look right through me
You might also like[Chorus]
And I find it kind of funny
I find it kind of sad
The dreams in which I'm dying
Are the best I've ever had
I find it hard to tell you
I find it hard to take
When people run in circles
It's a very, very, mad world, mad world

[Outro]
Mad world
Mad world4",0.315,0.332,7,-11.047,1,0.0315,0.522,2.23e-06,0.117,0.21,175.742,186818,4,['pop']
Alice Merton,No Roots,84,non-hit,"[Verse 1]
I like digging holes and hiding things inside them
When I grow old, I hope I won't forget to find them
'Cause I've got memories and travel like gypsies in the night

[Verse 2]
I build a home and wait for someone to tear it down
Then pack it up in boxes, head for the next town running
'Cause I've got memories and travel like gypsies in the night

[Pre-Chorus]
And a thousand times I've seen this road
A thousand times

[Chorus]
I've got no roots
But my home was never on the ground
I've got no roots
But my home was never on the ground
I've got no roots
I've got no roots
I've got no roots
But my home was never on the ground
I've got no roots
But my home was never on the ground
I've got no roots
I've got no roots
You might also like[Verse 3]
I like standing still but that's just a wishful plan
Ask me where I come from, I'll say a different land
But I've got memories and travel like gypsies in the night

[Verse 4]
I count gates and numbers, then play the guessing game
It's just the place that changes, the rest is still the same
But I've got memories and travel like gypsies in the night

[Pre-Chorus]
And a thousand times I've seen this road
A thousand times

[Chorus]
I've got no roots
But my home was never on the ground
I've got no roots
But my home was never on the ground
I've got no roots
I've got no roots
I've got no roots
But my home was never on the ground
I've got no roots
But my home was never on the ground
I've got no roots
I've got no roots
[Bridge]
I like digging holes, hiding things inside them
When I grow old, I won't forget to find them
I like digging holes, hiding things inside them
When I grow old, I won't forget to find them
I've got no roots
No roots

[Chorus]
I've got no roots
But my home was never on the ground
I've got no roots
But my home was never on the ground
I've got no roots
I've got no roots
I've got no roots
But my home was never on the ground
I've got no roots
But my home was never on the ground
I've got no roots
I've got no roots
(No!)21",0.863,0.657,7,-7.295,1,0.105,0.264,0.00619,0.0713,0.829,115.958,235813,4,['pop']
Amanda,Everybody Doesn't,81,non-hit,"[Chorus]
Everybody does it, that's what you keep saying
Everybody doesn't, not everybody's playing
I wanna be your girlfriend
But you gotta turn the pressure off, just stop

[Verse 1]
I think you've got a one track mind
But you're so focused on the destination that you're missing the ride
You tell me you're a patient guy
But we're not having a conversation 'cause you're preoccupied

[Pre-Chorus]
If I loved you, I would
If you loved me, I wouldn't have to
If I were in your shoes
Never expect you to get down

[Chorus]
Everybody does it, that's what you keep saying
Everybody doesn't, not everybody's playing
I wanna be your girlfriend
But you gotta turn the pressure off (Turn the pressure off)
Everybody does it, that's what you keep saying
Everybody doesn't, not everybody's playing (Everybody doesn't)
I wanna be your girlfriend (I wanna be your girlfriend)
But you gotta turn the pressure off (Oh no)
You might also like[Verse 2]
Ooh, you're good, you try real hard
So just fill out your application, I'll let you know next year
You don't believe when I say no, no, no
If you don't give me consideration, then you'll have to go

[Pre-Chorus]
If I loved you, I would
If you loved me, I wouldn't have to
If I were in your shoes
Never expect you to get down

[Chorus]
Everybody does it, that's what you keep saying
Everybody doesn't, not everybody's playing
I wanna be your girlfriend (I wanna be your girlfriend)
But you gotta turn the pressure off
Everybody does it, that's what you keep saying (Everybody does it)
Everybody doesn't, not everybody's playing (Everybody doesn't)
I wanna be your girlfriend (I wanna be your girlfriend)
But you gotta turnthe pressure off (Oh no, no, no,)

[Bridge]
No
No (Yeah)
No
No (Come on, yeah, yeah)
Break it down for me, baby
Come and chill (Turn the pressure off)
Come and dance with me, baby
Ooh
[Chorus]
Everybody does it, that's what you keep saying (Oh, yeah, yeah, yeah, yeah)
Everybody doesn't, not everybody's playing
I wanna be your girlfriend (Oh, yeah)
But you gotta turn the pressure off (Gotta turn the pressure off)
Everybody does it, that's what you keep saying
Everybody doesn't, not everybody's playing
I wanna be your girlfriend
But you gotta turn the pressure off (Oh, turn the pressure off)
Everybody does it, that's what you keep saying
Everybody doesn't, everybody's playing
I wanna be your girlfriend
But you gotta turn the pressure off (Ooh, woah)
Gotta put the pressure off
Everybody does it, that's what you keep saying
Everybody doesn't, everybody's playing
I wanna be your girlfriend
But you gotta turn the pressure off
Just stop",0.667,0.92,10,-4.117,0,0.0471,0.087,9.95e-05,0.137,0.932,91.016,182560,4,['pop']
American Hi-Fi,Flavor Of The Weak,41,non-hit,"[Verse 1]
She paints her nails and she don't know
He's got her best friend on the phone
She'll wash her hair
His dirty clothes are all he gives to her

[Pre-Chorus]
And he's got posters on the wall
Of all the girls he wished she was
And he means everything to her

[Chorus]
Her boyfriend, he don't know
Anything about her
He's too stoned, Nintendo
I wish that I could make her see
She's just the flavor of the weak

[Verse 2]
It's Friday night and she's all alone
He's a million miles away
She's dressed to kill, but the TV's on
He's connected to the sound

[Pre-Chorus]
And he's got pictures on the wall
Of all the girls he's loved before
And she knows all his favorite songs
You might also like[Chorus]
Her boyfriend, he don't know
Anything about her
He's too stoned, Nintendo
I wish that I could make her see
She's just the flavor of the weak
Yeah

[Guitar Solo]

[Bridge]
Her boyfriend, he don't know
Anything about her
He's too stoned, he's too stoned
He's too stoned, he's too stoned

[Chorus]
Her boyfriend, he don't know
Anything about her
He's too stoned, Nintendo
I wish that I could make her see
She's just the flavor of the weak

[Outro]
Yeah, she's the flavor of the weak
She makes me weak1",0.39,0.967,10,-1.946,1,0.0644,0.000758,1.74e-05,0.302,0.488,151.944,188840,4,['pop']
Anastacia,I'm Outta Love,92,non-hit,"[Verse 1]
Now, baby, come on
Don't claim that love you never let me feel
I should have known
'Cause you brought nothing real
Come on, be a man about it, you won't die
I ain't got no more tears to cry
And I can't take this no more
You know I gotta let it go
And you know

[Chorus]
I'm outta love, set me free
And let me out this misery
Just show me the way to get my life again
'Cause you can't handle me
Said I'm outta love, can't you see
Baby, that you gotta set me free?
I'm outta love

[Verse 2]
Said how many times
Have I tried to turn this love around?
But every time you just let me down
Come on, be a man about it, you'll survive
True that you can work it out all right
Tell me, yesterday did you know
I'd be the one to let you go?
And you know
You might also like[Chorus]
I'm outta love, set me free (set me free)
And let me out this misery (Oh, let me out this misery)
Show me the way to live my life again
You can't handle me
I'm outta love, can't you see
Baby, that you gotta set me free
I'm outta

[Bridge]
Let me get over you
The way you've gotten over me too, yeah
Seems like my time has come
And now I'm moving on
I'll be stronger

[Chorus]
I'm outta love, set me free (set me free)
And let me out this misery
Show me the way to live my life again
You can't handle me (no, no)
Said I'm outta love, set me free
And let me out this misery
Show me the way to get my life again
You can't handle me
Said I'm outta love, can't you see (can't you see?)
Baby, that you gotta set me free?
I'm outta love
I'm outta love, set me free (no, no, no)
And let me out this misery (out this misery)
Just show me the way to get my life again
'Cause you can't handle me (no, no)
Said I'm outta love, set me free
And let me out this misery2",0.761,0.716,10,-5.8,0,0.056,0.396,0.0,0.0771,0.649,119.41,245400,4,['pop']
Andrew Seeley,Get'cha Head In The Game,23,hit,"[Verse 1: Troy]
Coach said to fake right and break left
Watch out for the pick and keep an eye on defense
Gotta run the give-and-go, take the ball to the hole
And don't be afraid to shoot the outside J

[Pre-Chorus: Troy]
Uh, just keep ya head in the game
Uh, just keep ya head in the game
And don't be afraid to shoot the outside J
Uh, just keep ya head in the game
[Chorus: Troy, Team & All]
You gotta get'cha, get'cha head in the game
We gotta get our, get our, get our, get our head in the game
You gotta get'cha, get'cha head in the game
We gotta get our, get our, get our, get our head in the game
C'mon, get'cha, get'cha head in the game
We gotta get our, get our, get our, get our head in the game
You gotta get'cha (Get our), get'cha (Get our) head in the game
We gotta get our, get our, get our, get our head in the game
Woo

[Verse 2: Troy]
Let's make sure that we get the rebound
'Cause when we get it, then the crowd will go wild
A second chance, gotta grab it and go
Maybe this time, we'll hit the right notes

[Pre-Chorus: Troy & Team]
Wait a minute, not the time and place
Wait a minute, get my head in the game
Wait a minute, get my head in the game
Wait a minute, wait a minute (Get'cha head in the game)

[Chorus: Troy, Team & All]
I gotta get my, get my head in the game
You gotta get'cha, get'cha, get'cha, get'cha head in the game
I gotta get my, get my head in the game
We gotta get'cha, get'cha, get'cha, get'cha head in the game
C'mon, get my, get my head in the game
You gotta get'cha, get'cha, get'cha, get'cha head in the game
I gotta get my (Get'cha), get my (Get'cha) head in the game
You gotta get'cha, get'cha, get'cha, get'cha head in the game
Woo
You might also like[Bridge: Troy]
Why am I feelin' so wrong?
My head's in the game, but my heart's in the song
She makes this feel so right

[Interlude: Troy]
Should I go for it?
I better shake this
Yikes

[Instrumental Break]

[Chorus: Troy, Team & All]
I gotta get my, get my head in the game
You gotta get'cha, get'cha, get'cha, get'cha head in the game
I gotta get my, get my head in the game
We gotta get'cha, get'cha, get'cha, get'cha head in the game
C'mon, get my, get my head in the game
You gotta get'cha, get'cha, get'cha, get'cha head in the game
I gotta get my (Get'cha), get my (Get'cha) head in the game
You gotta get'cha, get'cha, get'cha, get'cha head in the game
Woo1",0.876,0.795,6,-11.988,1,0.146,0.0377,0.00778,0.0251,0.591,112.997,146160,4,['pop']
Andrew Seeley & Vanessa Anne Hudgens,What I've Been Looking For (Reprise),67,non-hit,"[Verse 1: Ryan, with Sharpay]
It's hard to believe that I couldn't see
You were always there beside me
Thought I was alone, with no one to hold
But you were always right beside me

[Pre-Chorus: Sharpay, with Ryan]
This feeling's like no other
I want you to know

[Chorus: Ryan & Sharpay]
I've never had someone that knows me like you do
The way you do
I've never had someone as good for me as you
No one like you
So lonely before, I finally found
What I've been lookin' for
[Verse 2: Sharpay, Ryan & Both]
So good to be seen, so good to be heard
Don't have to say a word
For so long I was lost, so good to be found
I'm lovin' havin' you around

[Pre-Chorus: Ryan, with Sharpay]
This feeling's like no other
I want you to know

[Chorus: Ryan & Sharpay]
I've never had someone that knows me like you do
The way you do
I've never had someone as good for me as you
No one like you
So lonely before, I finally found
What I've been lookin' for

[Outro: Ryan & Sharpay]
Do-do-do
Do-do-do-do-do-do
Woah-oh-oh-oh
Do-do-do-do
Do-do-do-do-do-do
Woah-oh-oh-ohYou might also like5",0.66,0.604,9,-6.823,1,0.0277,0.0737,0.0,0.0912,0.724,140.035,123826,4,['pop']
